complaint_text,category,urgency,duration,affected_count,source,cluster_id,cluster_count,issue_id
"After eating from mess yesterday, three of us had upset stomachs. Food quality has been deteriorating consistently for weeks.",Mess/Food,High,More than a month,20+,synthetic,,,
"Professor ne class mein ek student ko isliye humiliate kiya kyunki usne ek concept galat samjha tha. Front of 60 students, sir ne kaha 'aap jaisa student engineering mein kya kar raha hai.' This is deeply demoralizing. Not everyone understands everything immediately. That's why we come to class. If professors don't have patience to teach, they shouldn't be teaching. This creates fear in students to ask questions. Silent classroom does not mean students are learning. Please conduct teacher training.",Academics,High,From Last Month,20+,synthetic,,,
Computer lab booking system is manual  we have to physically go and check availability. An online booking system would save so much time.,Technical Issues,Medium,More than a month,Only me,synthetic,,,
Misal pav ka pav stale rehta hai. Chawli ki sabji ka smell aata hai. Aur papad toh kabhi milta hi nahi. Is food worth 60 rupees? Absolutely not.,Mess/Food,Medium,More than a month,Only me,synthetic,,,
hostel geyser kharab hai,Infrastructure,Low,More than a month,20+,synthetic,,,
"Yaar monday ko test hota hai toh sunday ko self study nahi ho pata. Ek din bhi rest nahi milta. Please isko band karo, students ko breathe karne do.",Academics,Medium,From last week,20+,synthetic,,,
wifi nahi chal raha,Technical Issues,High,From last week,20+,synthetic,,,
ragging control nahi ho raha,Ragging,High,More than a month,Only me,synthetic,,,
toilet flush kaam nahi karta,Cleanliness,High,From Last Month,20+,synthetic,,,
soap nahi hai washroom mein,Cleanliness,High,More than a month,20+,synthetic,,,
"The condition of girls washrooms across all blocks is extremely poor. Door locks are broken in most stalls. We either wait for the one working stall or ask someone to hold the door from outside - embarrassing and time-consuming. During break, there's a huge queue for just one functional washroom. No proper liquid soap dispenser - just a random sprite bottle with a hole. This is basic hygiene necessity. Please repair locks and install proper dispensers urgently.",Infrastructure,High,More than a month,2 to 5,synthetic,,,
net bohot slow hai,Technical Issues,High,More than a month,20+,synthetic,,,
syllabus outdated hai bhai,Academics,High,More than a month,5 to 20,synthetic,,,
parking nahi hai proper,Infrastructure,High,More than a month,5 to 20,synthetic,,,
College mein koi proper grievance mechanism nahi hai. Hum complaint karte hai - verbally to HOD or in register - and we never hear back. Was it received? Being looked into? Resolved? Zero feedback. It feels like complaints go into a black hole. An online complaint tracking system should be set up where students can see the status of their complaint. Transparency builds trust. Right now there is none. Students give up after first complaint because they know nothing will happen.,Other,Medium,From Last Month,2 to 5,synthetic,,,
"Vending machine accepts only exact change  no change given back, no card/UPI. This is 2026, please upgrade the machine.",Other,Low,More than a month,2 to 5,synthetic,,,
College mein koi proper grievance mechanism nahi hai. Hum complaint karte hai  whether verbally to HOD or in a register  and we never hear back. Was it received? Being looked into? Resolved? Zero feedback. It feels like complaints go into a black hole. An online complaint tracking system should be set up where students can see the status of their complaint. Transparency builds trust. Right now there is none.,Other,Medium,More than a month,2 to 5,synthetic,,,
Smart boards are installed but rarely work. Teachers use chalk boards defeating the whole purpose of smart technology.,Technical Issues,High,From Last Month,2 to 5,synthetic,,,
window broken hai class ki,Infrastructure,Medium,More than a month,5 to 20,synthetic,,,
cleaning nahi hoti proper,Cleanliness,Medium,More than a month,20+,synthetic,,,
Student ID cards take 2+ months for new students. Many facilities require ID - students stuck without it.,Other,High,From Last Month,5 to 20,synthetic,,,
"The condition of girls' washrooms across all blocks is extremely poor. Door locks are broken in most stalls. We either have to wait for the one working stall or ask someone to hold the door from outside  which is embarrassing and time-consuming. During break time, there's a huge queue for just one functional washroom. Additionally, there's no proper liquid soap dispenser  just a random sprite bottle with a hole. This is a basic hygiene necessity. Please get the locks repaired and install proper dispensers urgently.",Infrastructure,Medium,More than a month,20+,synthetic,,,
"OHU students ke liye meal ka cost high hai but quality itni low hai. Hum depend karte hai college food pe, koi option nahi.",Mess/Food,High,From last week,20+,synthetic,,,
sir ne gaali di class mein,Ragging,High,More than a month,2 to 5,synthetic,,,
sir ne personal comment kiya,Ragging,Low,More than a month,20+,synthetic,,,
chapati kagaz jaisi hai,Mess/Food,High,From last week,20+,synthetic,,,
During MSE exams submission portal crashed and many students couldn't upload on time. Who takes responsibility for technical failure?,Technical Issues,High,From Last Month,20+,synthetic,,,
UPI nahi chalta M-block canteen mein. 2026 mein cash carry karna? Really? Please install payment system.,Mess/Food,High,From Last Month,20+,synthetic,,,
documents verify nahi hue abhi tak,Other,Medium,More than a month,5 to 20,synthetic,,,
canteen UPI accept nahi karta,Mess/Food,High,More than a month,20+,synthetic,,,
"I am a first year student and want to report serious ragging by seniors in our department. They asked us to stand in a line and answer personal questions. When we refused, they threatened to make our college life difficult. One of them told us they know professors who can mark our attendance as absent. We are genuinely scared. We tried to report to a teacher but were told 'it's just seniors being friendly.' This is NOT friendly. Please take strict action. We have the names of the seniors involved.",Ragging,Medium,More than a month,2 to 5,synthetic,,,
Senior verbally abused juniors near library. Threatened them not to use certain seats 'reserved for seniors.' Not ok.,Ragging,High,From Last Month,Only me,synthetic,,,
"College events run way over time without warning. If event says 6pm end, it runs till 9pm. Students miss buses and trains because of this.",Other,Medium,Today,5 to 20,synthetic,,,
"Wifi password change hota rehta hai bina notice ke. Suddenly disconnect, class mein teacher kuch bata rahe hote hai aur net nahi.",Technical Issues,High,From last week,20+,synthetic,,,
no cleaning staff visible during day,Cleanliness,High,More than a month,20+,synthetic,,,
building mein seepage hai,Infrastructure,Medium,More than a month,20+,synthetic,,,
UPI nahi chalta M-block canteen mein. 2026 mein cash carry karna? Really? Please install payment system.,Mess/Food,High,From Last Month,20+,synthetic,,,
exam form submit nahi ho raha,Other,Medium,From Last Month,2 to 5,synthetic,,,
admin office response slow hai,Other,Medium,From Last Month,20+,synthetic,,,
assignments ka deadline same day hai do subjects mein,Academics,High,Today,5 to 20,synthetic,,,
"College WhatsApp groups are full of spam - promotions, surveys, irrelevant forwards. Important messages are buried.",Other,High,Today,5 to 20,synthetic,,,
outside college area littered,Cleanliness,Medium,More than a month,5 to 20,synthetic,,,
Exam schedule advance mein nahi milta. Last minute notice se preparation affect hoti hai badly.,Academics,High,More than a month,20+,synthetic,,,
"Professor padhate nahi, just ek book open karke padhte hai. Hum bhi ghar pe yeh kar sakte the.",Academics,High,More than a month,5 to 20,synthetic,,,
Washroom cleaning schedule follow nahi hoti. Subah clean hota hai aur dopahar tak ganda ho jaata hai. At least twice a day cleaning honi chahiye.,Cleanliness,High,More than a month,20+,synthetic,,,
"Lab hygiene has been ignored for too long. Our computer lab tables have layers of dust. Keyboards are sticky. Mouse pads have unknown stains. We spend hours here daily breathing dusty air. Allergies and respiratory issues are common complaints in these labs. A proper cleaning schedule should be implemented - wiping down systems, mopping floors, dusting - at least twice a week. This is a basic requirement for a functioning educational facility.",Cleanliness,High,More than a month,5 to 20,synthetic,,,
papad ki shortage rahti hai,Mess/Food,High,More than a month,5 to 20,synthetic,,,
first years ko torture kiya ja raha,Ragging,High,Today,2 to 5,synthetic,,,
Poor internet,Technical Issues,Medium,Today,20+,real,,,
classroom ventilation poor hai,Infrastructure,High,More than a month,5 to 20,synthetic,,,
Assignment submissions portal pe often fails. Students panic karte hai deadline ke time pe.,Academics,High,More than a month,20+,synthetic,,,
"There is absolutely no mental health support infrastructure in this college. Engineering students face immense pressure  academic, placement-related, personal. Many of my friends are struggling with anxiety and burnout. There's no counselor, no support group, no accessible helpline. In some western colleges this is a priority. Please hire at least one full-time counselor and set up a confidential support service. Students really need this.",Other,Low,More than a month,Only me,synthetic,,,
faculty ne verbal abuse ki,Ragging,High,Today,2 to 5,synthetic,,,
water ka taste acha nahi hai,Other,Medium,More than a month,20+,synthetic,,,
Classroom lights in some rooms are very low wattage. Dim lighting strains eyes during reading and exams.,Infrastructure,Low,More than a month,2 to 5,synthetic,,,
ragging control nahi ho raha,Ragging,Low,From last week,2 to 5,synthetic,,,
No dustbins inside lab rooms. Students walk to corridor to throw waste. Install dustbins inside please.,Cleanliness,High,More than a month,20+,synthetic,,,
Junior students asked by seniors to fetch food and do errands under guise of 'helping out.' Normalized ragging.,Ragging,High,More than a month,2 to 5,synthetic,,,
lab bench dusty hai,Cleanliness,Medium,From Last Month,5 to 20,synthetic,,,
Junior students asked by seniors to fetch food and do errands under guise of 'helping out.' Normalized ragging.,Ragging,Low,From Last Month,Only me,synthetic,,,
"During monsoon, water enters the basement area where some labs are. Equipment gets damaged. Waterproofing should have been done long ago.",Infrastructure,Low,More than a month,20+,synthetic,,,
100% attendance compulsory kyu hai yaar,Academics,High,From Last Month,5 to 20,synthetic,,,
"The anti-ragging policy of this college seems to exist only on paper. Multiple incidents have occurred this semester. Seniors intimidating juniors in hostels. Professors publicly humiliating students. Faculty using attendance as a threat weapon. When complaints are made, they are dismissed or the complainant faces retaliation. This creates a culture of fear where no one speaks up. Please establish a genuinely independent and anonymous complaint mechanism, and take visible action when complaints are received.",Ragging,High,From Last Month,2 to 5,synthetic,,,
girls common room AC nahi,Infrastructure,Medium,From Last Month,20+,synthetic,,,
sir ne notes hi nahi diye semester mein,Academics,Medium,More than a month,20+,synthetic,,,
building mein water leakage hai,Infrastructure,Medium,More than a month,20+,synthetic,,,
"No proper induction program for first year students. They are lost for the first month with no guidance on processes, facilities, or expectations.",Other,High,From Last Month,2 to 5,synthetic,,,
College fee payment portal crashes near deadline. Late fee charged even when failure was portal's. Unfair.,Other,High,More than a month,20+,synthetic,,,
kachra everywhere yaar,Cleanliness,High,More than a month,5 to 20,synthetic,,,
Lab mein socket itne kharab hai ki students ko pen daal ke charger lagana padta hai. Yeh dangerous hai  electric shock ka risk hai. Please fix immediately.,Infrastructure,High,More than a month,20+,synthetic,,,
projector connect nahi ho raha,Technical Issues,High,Today,5 to 20,synthetic,,,
sabzi tasteless hai aaj bhi,Mess/Food,High,More than a month,20+,synthetic,,,
"There is absolutely no mental health support in this college. No counselor, no support group, no helpline.",Other,High,More than a month,2 to 5,synthetic,,,
Software required for curriculum not installed on lab computers. First 30 minutes of every practical goes into installing.,Technical Issues,Medium,More than a month,2 to 5,synthetic,,,
Canteen mein rush time pe staff bohot rude ho jaata hai. Extra roti maango toh attitude aata hai. Hum customer hai bhai.,Mess/Food,High,Today,20+,synthetic,,,
ID card pe sir ne bully kiya,Ragging,High,From Last Month,Only me,synthetic,,,
"The food being served in the college mess is consistently terrible and I say this after 3 years of experience. Paneer dishes always watery. Chapati always either too thin or too hard. Dal always tasteless. Same menu rotating every week. No seasonal variety, no special items, nothing. The price has gone up but quality has only gone down. And when students complain, the response is 'you can bring food from home.' Not everyone lives nearby! OHU and hostel students are completely dependent. Please take this seriously and hire a proper nutrition-focused caterer.",Mess/Food,Medium,From Last Month,2 to 5,synthetic,,,
"Rugved Deolekar sir ne sirf ID card nahi hone pe itna bura behave kiya. Loudly scolded in front of everyone, used rude language. That is not how you speak to students.",Ragging,High,More than a month,Only me,synthetic,,,
roti hard aur stiff hai,Mess/Food,Medium,More than a month,5 to 20,synthetic,,,
socket problem in labs,Infrastructure,Medium,From Last Month,2 to 5,synthetic,,,
The college network blocks many websites including some coding platforms which we need for assignments. Please whitelist educational sites.,Technical Issues,Medium,More than a month,20+,synthetic,,,
Monday Exams ,Academics,High,More than a month,20+,real,,,
The area behind the canteen is where all the garbage accumulates. It smells terrible and attracts insects. Proper waste disposal system chahiye.,Cleanliness,Medium,More than a month,20+,synthetic,,,
placement preparation ke liye zero support,Academics,High,More than a month,20+,synthetic,,,
counseling service nahi hai,Other,High,More than a month,Only me,synthetic,,,
hostel geyser kharab hai,Infrastructure,High,More than a month,20+,synthetic,,,
"Professor ka behavior poori class ke saath bahut hi bura hai. Woh class mein questions puchte hai aur agar galat jawab aaya toh loudly mock karte hai poori class ke saamne. Ek baar ek student ne doubt pucha toh unhone kaha 'itna bhi nahi pata, kya kar rahe ho yahan?' This is deeply demoralizing. Students ki confidence totally shatter ho gayi hai. Aise professor ke saath class attend karna mental torture hai. Please talk to this faculty member and make them understand professional conduct.",Ragging,Medium,More than a month,Only me,synthetic,,,
ragging ke cases badh rahe hai,Ragging,High,From last week,20+,synthetic,,,
"The washrooms in this college are in a terrible condition. All the toilet stalls in girls washroom of D block have broken flush handles  you have to manually pour water or just leave it. The floor is perpetually wet creating a slipping hazard. There are no soap dispensers. The cleaning is done only once in the morning, after which the condition deteriorates rapidly through the day. By afternoon it's genuinely unbearable. This is a health and hygiene issue that directly affects girl students every single day. Please set up a proper cleaning schedule and maintenance team.",Cleanliness,Medium,More than a month,20+,synthetic,,,
"The food being served in the college mess is consistently terrible and I say this after 3 years of experience. Paneer dishes always watery. Chapati always either too thin or too hard. Dal always tasteless. Same menu rotating every week. No seasonal variety, no special items, nothing. The price has gone up but quality has only gone down. And when students complain, the response is 'you can bring food from home.' Not everyone lives nearby! OHU and hostel students are completely dependent. Please take this seriously and hire a proper nutrition-focused caterer.",Mess/Food,High,From last week,5 to 20,synthetic,,,
"The WiFi situation in this college is honestly embarrassing. It barely works inside the building, and when it does, the speed is so slow that a simple Google search takes forever. The login system is a nightmare - half the time the page doesn't load, and when it does, you get disconnected every few minutes. In 2026, a college that can't provide decent internet is a serious problem. Students need internet for research, online assignments, learning platforms. Please invest in proper networking infrastructure.",Technical Issues,Medium,From last week,20+,synthetic,,,
"Printer in the department is always jammed or out of paper. Every time we go to print something important, it's never working.",Technical Issues,Medium,More than a month,20+,synthetic,,,
Lab benches have layers of dust. Computers dusty too. Equipment lifespan bhi reduce hoga. Regular cleaning please.,Cleanliness,High,From Last Month,20+,synthetic,,,
"Printer in department is always jammed. Every time we go to print something important, it's broken.",Technical Issues,High,More than a month,20+,synthetic,,,
"60 rupaye mein jo milta hai woh 30 ka bhi nahi lagta. Dal watery, chapati thin, sabzi tasteless. Value for money zero.",Mess/Food,High,From last week,20+,synthetic,,,
"Wifi password change hota rehta hai bina notice ke. Suddenly disconnect, class mein teacher kuch bata rahe hote hai aur net nahi.",Technical Issues,High,More than a month,5 to 20,synthetic,,,
water ka taste acha nahi hai,Other,Medium,More than a month,5 to 20,synthetic,,,
"Network speed during peak hours (10am-12pm) drops to almost nothing. Too many users, not enough bandwidth. Upgrade the network capacity.",Technical Issues,High,Today,20+,synthetic,,,
"Wifi password change hota rehta hai bina notice ke. Suddenly disconnect, class mein teacher kuch bata rahe hote hai aur net nahi.",Technical Issues,Medium,More than a month,20+,synthetic,,,
"The washrooms in this college are in a terrible condition. All the toilet stalls in girls washroom of D block have broken flush handles  you have to manually pour water or just leave it. The floor is perpetually wet creating a slipping hazard. There are no soap dispensers. The cleaning is done only once in the morning, after which the condition deteriorates rapidly through the day. By afternoon it's genuinely unbearable. This is a health and hygiene issue that directly affects girl students every single day. Please set up a proper cleaning schedule and maintenance team.",Cleanliness,Medium,More than a month,20+,synthetic,,,
"College mein no hackathons, no workshops, no industry visits. Sirf theory aur tests. How to grow?",Academics,Medium,More than a month,5 to 20,synthetic,,,
A senior student was verbally aggressive with juniors in parking lot. Threatened them. This is ragging - take it seriously.,Ragging,Medium,From Last Month,2 to 5,synthetic,,,
"There is absolutely no mental health support infrastructure in this college. Engineering students face immense pressure  academic, placement-related, personal. Many of my friends are struggling with anxiety and burnout. There's no counselor, no support group, no accessible helpline. In some western colleges this is a priority. Please hire at least one full-time counselor and set up a confidential support service. Students really need this.",Other,Medium,From Last Month,20+,synthetic,,,
library mein AC nahi hai,Infrastructure,High,More than a month,5 to 20,synthetic,,,
"I am writing on behalf of many students concerned about washroom hygiene in blocks C and D. Washrooms are cleaned only once in the morning. By 11am they are in deplorable condition - floors wet, flush not working, no soap, bad odor spreading to corridors. Students are forced to use unhygienic facilities multiple times a day. This increases risk of infections and skin diseases. Administration must hire adequate cleaning staff and ensure washrooms are cleaned at least 3 times daily. This is not a luxury request - it is basic sanitation.",Cleanliness,High,More than a month,20+,synthetic,,,
test schedule confusing hai,Academics,Medium,Today,20+,synthetic,,,
notice nahi milti properly,Other,Medium,More than a month,20+,synthetic,,,
Attendance 75% mandatory hai but professor khud kabhi kabhi nahi aata. Double standard clearly.,Academics,High,From last week,20+,synthetic,,,
I want to formally report about the iMac lab. The college advertises this lab proudly but students have zero access. It's always locked. Hardware sitting there collecting dust while students use personal laptops for everything. Why was this set up if students can't use it? Let us use it during free periods at least. Give access to CS and IT students. Such expensive equipment going to waste is both frustrating and wasteful of college resources.,Technical Issues,Medium,From Last Month,5 to 20,synthetic,,,
canteen bahut expensive hai fees ke hisaab se,Mess/Food,Medium,Today,20+,synthetic,,,
Some people constantly spam the class group with survey messages. Important messages get lost.,Other,High,From Last Month,20+,synthetic,,,
Medical facility on campus is inadequate. No proper nurse or doctor. Only a basic first aid box available.,Other,High,More than a month,2 to 5,synthetic,,,
washroom bahut ganda hai,Cleanliness,Medium,More than a month,5 to 20,synthetic,,,
washroom lock toot gaya hai,Infrastructure,High,From Last Month,5 to 20,synthetic,,,
Hostel block mein geyser kaam nahi karta C wing mein. Cold water se nahaana in winter is not okay. Fix karo please.,Infrastructure,High,More than a month,20+,synthetic,,,
There is a pattern of behavior from one particular professor that I want to report formally. He regularly singles out students who don't have 100% attendance and threatens them in front of the class. Uses sarcastic and demeaning language. Girls especially have complained of feeling uncomfortable. On multiple occasions he has made inappropriate and humiliating comments. This is not discipline - this is harassment. Several students have stopped attending his classes out of fear. Please investigate and act before more students are affected.,Ragging,Low,More than a month,2 to 5,synthetic,,,
College mein koi proper grievance mechanism nahi hai. Hum complaint karte hai - verbally to HOD or in register - and we never hear back. Was it received? Being looked into? Resolved? Zero feedback. It feels like complaints go into a black hole. An online complaint tracking system should be set up where students can see the status of their complaint. Transparency builds trust. Right now there is none. Students give up after first complaint because they know nothing will happen.,Other,High,More than a month,5 to 20,synthetic,,,
washroom bahut ganda hai,Cleanliness,Medium,More than a month,20+,synthetic,,,
Faculty member has a habit of making examples of students who perform poorly by announcing their marks publicly. This is humiliating and discouraging.,Ragging,High,From Last Month,5 to 20,synthetic,,,
Classroom smart boards are rarely functional. Teachers end up using chalk boards which defeats the purpose of having smart technology.,Technical Issues,High,From Last Month,5 to 20,synthetic,,,
railing loose hai stairs ki,Infrastructure,High,From Last Month,Only me,synthetic,,,
"Professor takes attendance and then leaves after 10 minutes. But if students do the same, they lose marks. Double standard bahut frustrating hai.",Ragging,High,From Last Month,2 to 5,synthetic,,,
Dustbins on campus are overflowing since morning. No one empties them. By afternoon the garbage is spilling onto the floor. Please increase cleaning frequency.,Cleanliness,Medium,More than a month,20+,synthetic,,,
Girls washroom mein door locks broken hai almost every stall mein. We have to hold the door or wait for one working lock.,Infrastructure,High,From Last Month,20+,synthetic,,,
paneer watery hai roz,Mess/Food,Medium,More than a month,5 to 20,synthetic,,,
M-block canteen doesn't accept UPI which is super inconvenient. We are college students  most of us don't carry cash. Please update your payment system bhai.,Mess/Food,High,More than a month,5 to 20,synthetic,,,
MSE submission portal crashed during exam time. Many students couldn't upload on time. Who is responsible?,Technical Issues,Low,More than a month,20+,synthetic,,,
The canteen closes early sometimes without any notice. Students who have labs till late have no food option. Timing extend karo.,Mess/Food,High,More than a month,5 to 20,synthetic,,,
"MONDAY TESTS HINDER OUR SELF STUDY, THUS WE DON'T HAVE REAL WORLD SKILLS, THAT'S WHY YOUR PLACEMENT RECORD SUCKS!! THIS ISN'T SCHOOL. 

Also, which engineering college aks students to come for the last few semesters? It's like you are doing everything so the students don't get placed. Shame on you. ",Academics,High,More than a month,5 to 20,real,,,
Washroom cleaning schedule follow nahi hoti. Subah clean hota hai aur dopahar tak ganda ho jaata hai. At least twice a day cleaning honi chahiye.,Cleanliness,High,More than a month,20+,synthetic,,,
"Professor takes attendance then leaves after 10 minutes. If students do same, they lose marks. Double standard.",Ragging,High,More than a month,Only me,synthetic,,,
mess ka khana bekar hai,Mess/Food,High,More than a month,5 to 20,synthetic,,,
washroom mein smell aa rahi hai,Cleanliness,High,From last week,5 to 20,synthetic,,,
"Network speed during peak hours (10am-12pm) drops to almost nothing. Too many users, not enough bandwidth. Upgrade the network capacity.",Technical Issues,High,More than a month,2 to 5,synthetic,,,
"The food being served in the college mess is consistently terrible and I say this after 3 years of experience. Paneer dishes always watery. Chapati always either too thin or too hard. Dal always tasteless. Same menu rotating every week. No seasonal variety, no special items, nothing. The price has gone up but quality has only gone down. And when students complain, the response is 'you can bring food from home.' Not everyone lives nearby! OHU and hostel students are completely dependent. Please take this seriously and hire a proper nutrition-focused caterer.",Mess/Food,High,More than a month,5 to 20,synthetic,,,
Poor food quality resulting to frequent stomach related health concerns,Mess/Food,High,More than a month,2 to 5,real,,,
"Multiple systems in lab M411 and M312 are non-functional. Some don't boot, some freeze during work, some have login issues that don't recognize student IDs. We have practicals to complete with deadlines and we can't work because equipment isn't working. This has been reported multiple times but nothing has been fixed. How are we expected to learn if the tools aren't working? Labs need urgent maintenance - not next month, NOW.",Technical Issues,High,More than a month,5 to 20,synthetic,,,
queue bohot lamba hai lunch mein,Mess/Food,Medium,More than a month,Only me,synthetic,,,
AC in room 301 makes a huge noise during lectures. It's very distracting. Either fix or replace the unit.,Infrastructure,Medium,From Last Month,5 to 20,synthetic,,,
lab internet connection zero hai,Technical Issues,High,More than a month,Only me,synthetic,,,
ragging control nahi ho raha,Ragging,Medium,From Last Month,Only me,synthetic,,,
The college app crashes frequently and has a very outdated UI. Assignment submissions through the app often fail. Please update or replace it.,Other,High,More than a month,5 to 20,synthetic,,,
papad ki shortage rahti hai,Mess/Food,High,From Last Month,5 to 20,synthetic,,,
seating nahi milti,Mess/Food,High,Today,20+,synthetic,,,
The cleaning staff doesn't clean under benches in the canteen. Food particles accumulate there attracting cockroaches and ants.,Cleanliness,High,More than a month,20+,synthetic,,,
College fee payment portal crashes near deadline. Late fee charged even when failure was portal's. Unfair.,Other,High,From last week,5 to 20,synthetic,,,
garbage near canteen area,Cleanliness,Medium,From last week,20+,synthetic,,,
The outdoor dustbins are open type  no lid. Wind blows garbage all over campus. Use closed lid dustbins please.,Cleanliness,High,More than a month,20+,synthetic,,,
wifi nahi chal raha,Technical Issues,High,More than a month,5 to 20,synthetic,,,
Backlogs ke students ko extra support nahi milti. They have to manage same workload plus backlogs.,Academics,High,More than a month,20+,synthetic,,,
Classroom floors swept but not mopped. Sticky floors and stains everywhere. Disinfectant use karo please.,Cleanliness,High,More than a month,20+,synthetic,,,
college wifi range weak hai,Technical Issues,High,More than a month,2 to 5,synthetic,,,
seniors force kar rahe hai kaam karne ko,Ragging,High,More than a month,Only me,synthetic,,,
placement preparation ke liye zero support,Academics,Medium,From Last Month,20+,synthetic,,,
online submission portal exam ke time pe crash ho gaya,Academics,High,More than a month,2 to 5,synthetic,,,
sir ne gaali di class mein,Ragging,Medium,From Last Month,2 to 5,synthetic,,,
Boys washroom tiles in A block not scrubbed for weeks. Yellow stains and deposits clearly visible.,Cleanliness,High,More than a month,5 to 20,synthetic,,,
"Yaar ITI students get better practical training than us sometimes. Hum engineering kar rahe hai but kabhi kuch banana nahi sikha sahi se. Sab theoretical hai. Physics, maths, theory. Kab industry-ready honge? Companies mein jaate hai interview ke liye toh pata chalta hai kitna gap hai. College ki responsibility hai ki hume ready kare. Is college ki placement rate har saal gir rahi hai. But koi action nahi. Koi accountability nahi. Students fail hote hai, college ka kya jaata hai?",Academics,High,More than a month,2 to 5,synthetic,,,
floor properly clean nahi hota,Cleanliness,Medium,From last week,20+,synthetic,,,
fees issue resolve nahi ho raha,Other,High,Today,5 to 20,synthetic,,,
smart board kaam nahi kar raha,Technical Issues,High,From last week,20+,synthetic,,,
Classroom lights in some rooms are very low wattage. Dim lighting strains eyes during reading and exams.,Infrastructure,High,From Last Month,20+,synthetic,,,
The notice boards are broken and papers fall off constantly. Small thing but makes environment look neglected.,Infrastructure,High,Today,5 to 20,synthetic,,,
Girls common room mein AC nahi hai. Boys ke liye facilities hai but girls ke liye basic comfort nahi. Unfair treatment.,Infrastructure,Low,More than a month,2 to 5,synthetic,,,
Senior students spread rumors about juniors who report issues. This creates fear and prevents genuine complaints from being raised. Strict confidentiality needed.,Ragging,High,From Last Month,5 to 20,synthetic,,,
"College mein koi proper mentorship program nahi hai. No alumni network, no industry connect, no career counseling. When placement season starts, students panic because they have no guidance. Some professors who teach placement related subjects don't even know what companies ask in interviews. Meanwhile fees increase every year. What are we paying for? Just a certificate? We deserve actual career support.",Academics,High,From Last Month,5 to 20,synthetic,,,
